#Datos de Brujula
0	84
1	26
2	20
3	88
4	7
5	29
6	58
7	8
8	88
9	49
10	5
11	1
12	62
13	36
14	82
15	5
16	6
17	53
18	3
19	76
20	30
21	72
22	6
23	50
24	56
25	39
26	5
27	35
28	14
29	38
30	90
31	4
32	68
33	84
34	28
35	39
36	81
37	95
38	60
39	50
40	79
41	79
42	73
43	36
44	70
45	75
46	74
47	73
48	51
49	95
50	20
51	65
52	79
53	43
54	90
55	90
56	53
57	86
58	59
59	34
60	41
61	38
62	49
63	95
64	85
65	47
66	29
67	16
68	5
69	52
70	27
71	39
72	48
73	76
74	45
75	82
76	36
77	47
78	62
79	83
80	96
81	29
82	91
83	77
84	77
85	65
86	40
87	81
88	33
89	58
90	27
91	45
92	41
93	61
94	3
95	6
96	93
97	67
98	59
99	36
100	78
101	55
102	94
103	41
104	11
105	56
106	86
107	45
108	43
109	38
110	45
111	46
112	56
113	72
114	57
115	32
116	51
117	50
118	56
119	71
120	89
121	41
122	10
123	95
124	7
125	99
126	97
127	5
128	6
129	92
130	42
131	2
132	1
133	3
134	27
135	71
136	37
137	47
138	31
139	35
140	23
141	23
142	21
143	49
144	64
145	3
146	54
147	14
148	20
149	58
150	2
151	60
152	73
153	6
154	65
155	1
156	72
157	41
158	54
159	54
160	61
161	51
162	67
163	93
164	1
165	25
166	34
167	97
168	50
169	74
170	25
171	76
172	79
173	1
174	43
175	28
176	83
177	87
178	34
179	33
180	33
181	1
182	34
183	92
184	87
185	64
186	87
187	14
188	65
189	86
190	55
191	71
192	44
193	54
194	9
195	71
196	99
197	28
198	58
199	9
200	9
201	34
202	65
203	85
204	75
205	28
206	58
207	98
208	91
209	94
210	95
211	6
212	45
213	41
214	25
215	93
216	6
217	81
218	59
219	2
220	53
221	55
222	94
223	5
224	27
225	30
226	28
227	48
228	34
229	37
230	71
231	2
232	66
233	38
234	40
235	98
236	85
237	42
238	63
239	13
240	76
241	4
242	39
243	35
244	58
245	60
246	66
247	90
248	95
249	41
250	58
251	50
252	60
253	27
254	55
255	3
256	35
257	49
258	98
259	33
260	89
261	21
